id,latitude,longitude,price,,,,,,,,,
50646,1.33432,103.78521,80,,,,,,,,,
71609,1.34537,103.95887,145,,,,,,,,,
71896,1.34754,103.95958,85,,,,,,,,,
71903,1.34531,103.961,85,,,,,,,,,
275344,1.28836,103.81144,49,,,,,,,,,
289234,1.3449,103.95979,184,,,,,,,,,
294281,1.31142,103.83924,79,,,,,,,,,
324945,1.28828,103.8102,49,,,,,,,,,
330089,1.28652,103.81225,55,,,,,,,,,
330095,1.28636,103.81138,55,,,,,,,,,
344803,1.34917,103.9609,42,,,,,,,,,
369141,1.31144,103.83784,79,,,,,,,,,
369145,1.31129,103.83788,66,,,,,,,,,
395191,1.29335,103.83768,100,,,,,,,,,
481789,1.34816,103.93238,37,,,,,,,,,
606784,1.34361,103.95717,83,,,,,,,,,
642660,1.30096,103.85206,170,,,,,,,,,
696136,1.30938,103.79812,100,,,,,,,,,
733863,1.36926,103.87312,26,,,,,,,,,
747813,1.27663,103.84498,119,,,,,,,,,
747816,1.27585,103.84597,119,,,,,,,,,
756267,1.30416,103.90076,250,,,,,,,,,
765579,1.2841,103.84253,69,,,,,,,,,
815685,1.29065,103.80941,55,,,,,,,,,
819034,1.30492,103.90315,300,,,,,,,,,
819044,1.30425,103.90097,150,,,,,,,,,
823571,1.31313,103.91479,284,,,,,,,,,
833289,1.27716,103.82299,150,,,,,,,,,
863139,1.3092,103.86339,57,,,,,,,,,
881253,1.28485,103.84317,79,,,,,,,,,
915275,1.31208,103.85846,57,,,,,,,,,
962594,1.30663,103.86243,57,,,,,,,,,
982909,1.33389,103.83454,90,,,,,,,,,
1024986,1.29245,103.83742,170,,,,,,,,,
1249555,1.31322,103.85583,69,,,,,,,,,
1261443,1.28458,103.84311,79,,,,,,,,,
1363204,1.28386,103.84238,69,,,,,,,,,
1495386,1.37975,103.94375,50,,,,,,,,,
1508829,1.3072,103.86359,59,,,,,,,,,
1562453,1.32359,103.8498,30,,,,,,,,,
1581224,1.31108,103.87374,130,,,,,,,,,
1611318,1.28419,103.82765,60,,,,,,,,,
1615074,1.2841,103.84253,79,,,,,,,,,
1643945,1.39088,103.85303,216,,,,,,,,,
1646909,1.34126,103.75992,84,,,,,,,,,
1654840,1.30292,103.858,90,,,,,,,,,
1678744,1.28405,103.84424,63,,,,,,,,,
1678754,1.28405,103.84424,378,,,,,,,,,
1678755,1.28405,103.84424,63,,,,,,,,,
1710048,1.28466,103.84255,48,,,,,,,,,
1838622,1.31805,103.92361,95,,,,,,,,,
1900478,1.31612,103.88343,59,,,,,,,,,
1902729,1.3209,103.91569,49,,,,,,,,,
1902793,1.32204,103.92125,60,,,,,,,,,
1941719,1.27525,103.84524,119,,,,,,,,,
2009008,1.32301,103.92211,68,,,,,,,,,
2024941,1.31963,103.924,95,,,,,,,,,
